# SYNTHETIC DEMO DATA — Not verified. For decision-support planning only.
# Sources: publicly referenced facility names / approximate locations. Scores are illustrative.
id,name,facility_type,latitude,longitude,zone,owner_type,criticality_score,power_dependency_score,backup_readiness_score,flood_exposure_score,water_dependency_score,road_access_score,heat_exposure_score,data_confidence_score,assumptions,data_sources
F001,Manipal Hospital Whitefield,hospital,12.9698,77.7500,Whitefield,private,90,85,60,35,70,55,45,70,"Backup DG assumed present","Public hospital registry"
F002,Sakra World Hospital Marathahalli,hospital,12.9563,77.7011,Marathahalli,private,88,82,65,30,68,60,42,72,"Backup power unverified","News reports"
F003,Bowring & Lady Curzon Hospital,hospital,12.9762,77.6033,Central Bengaluru,public,92,88,40,50,75,65,50,60,"Old building; backup gaps likely","BBMP health facility list"
F004,KC General Hospital Malleshwaram,hospital,13.0012,77.5689,Central Bengaluru,public,90,85,35,40,72,60,48,58,"Public hospital; older infrastructure","State health dept listing"
F005,Vikram Hospital Millers Road,hospital,12.9918,77.5876,Central Bengaluru,private,85,80,70,35,65,58,44,68,"Private; newer backup systems","Hospital website"
F006,Aster CMI Hospital Hebbal,hospital,13.0353,77.5970,Hebbal,private,88,84,72,45,68,52,46,74,"Backup verified approx","News reports"
F007,Bangalore Baptist Hospital Hebbal,hospital,13.0331,77.5912,Hebbal,private,86,80,65,42,66,50,44,70,"Mid-range backup capacity","Facility website"
F008,NIMHANS Lakkasandra,hospital,12.9408,77.5960,Koramangala,public,84,78,45,38,70,55,48,62,"Public facility; backup gaps","State health registry"
F009,BWSSB Hebbal Pumping Station,water_pumping_station,13.0450,77.5980,Hebbal,public,88,90,30,55,95,50,52,55,"Single-feeder dependency assumed","BWSSB infrastructure map"
F010,BWSSB Electronic City STP,sewage_treatment_plant,12.8447,77.6632,Electronic City,public,80,85,25,65,90,45,58,50,"Flood exposure in low-lying area","Media flood reports"
F011,BWSSB Peenya Pumping Station,water_pumping_station,13.0285,77.5190,Peenya,public,85,88,28,48,92,55,50,52,"Power cut impact unverified","BWSSB annual report"
F012,BWSSB Yelahanka Water Treatment,water_pumping_station,13.1006,77.5963,Yelahanka,public,82,84,32,35,88,48,45,58,"Capacity data unavailable","Public tender docs"
F013,BWSSB KR Puram Service Reservoir,water_pumping_station,13.0000,77.6976,KR Puram,public,80,82,30,52,90,50,50,55,"Overflow / drainage risk","BWSSB ward map"
